PBfusion.1.2	transcript/80175
PBfusion.374.1	transcript/112484
PBfusion.375.2	transcript/112484,transcript/23937,transcript/65844
PBfusion.375.1	transcript/23937,transcript/41761
PBfusion.376.2	transcript/112484,transcript/23937,transcript/65844
PBfusion.376.1	transcript/65844
PBfusion.377.1	transcript/144228
PBfusion.377.2	transcript/144228
PBfusion.378.2	transcript/54614
PBfusion.378.1	transcript/142487,transcript/54614
PBfusion.379.1	transcript/177407
PBfusion.379.2	transcript/177407
PBfusion.380.2	transcript/130329
PBfusion.380.1	transcript/130329
PBfusion.381.1	transcript/10887
PBfusion.381.2	transcript/10887
PBfusion.382.2	transcript/58256
PBfusion.382.1	transcript/58256
PBfusion.383.2	transcript/164497
PBfusion.383.1	transcript/164497
PBfusion.384.2	transcript/62251
PBfusion.384.1	transcript/62251
PBfusion.385.1	transcript/143689
PBfusion.385.2	transcript/143689
PBfusion.386.1	transcript/159131
PBfusion.386.2	transcript/159131
PBfusion.387.2	transcript/55949
PBfusion.387.1	transcript/55949
PBfusion.388.1	transcript/16010
PBfusion.388.2	transcript/16010
PBfusion.389.1	transcript/76701
PBfusion.389.2	transcript/65198,transcript/76701
PBfusion.390.1	transcript/149323
PBfusion.390.2	transcript/149323
PBfusion.391.2	transcript/132586,transcript/29497
PBfusion.391.1	transcript/132586
PBfusion.392.2	transcript/132586,transcript/29497
PBfusion.392.1	transcript/29497
PBfusion.393.1	transcript/148995
PBfusion.393.2	transcript/148995
PBfusion.394.1	transcript/50412
PBfusion.394.2	transcript/50412
PBfusion.395.1	transcript/24515
PBfusion.395.2	transcript/24515
PBfusion.396.1	transcript/174109
PBfusion.396.2	transcript/174109
PBfusion.397.2	transcript/116183
PBfusion.397.1	transcript/116183
PBfusion.398.1	transcript/95318
PBfusion.398.2	transcript/95318,transcript/114442
PBfusion.399.1	transcript/33800
PBfusion.399.2	transcript/33800
PBfusion.400.1	transcript/110654
PBfusion.400.2	transcript/110654
PBfusion.401.1	transcript/168418
PBfusion.401.2	transcript/168418
PBfusion.402.1	transcript/94163
PBfusion.402.2	transcript/94163
PBfusion.402.3	transcript/94163,transcript/129511
PBfusion.403.1	transcript/44051
PBfusion.403.2	transcript/44051
PBfusion.404.2	transcript/165183
PBfusion.404.1	transcript/165183
PBfusion.405.1	transcript/5483
PBfusion.405.2	transcript/5483
PBfusion.406.2	transcript/90719
PBfusion.406.1	transcript/90719
PBfusion.407.1	transcript/164155
PBfusion.407.2	transcript/164155
PBfusion.408.1	transcript/110945
PBfusion.408.2	transcript/110945
PBfusion.409.2	transcript/143085
PBfusion.409.1	transcript/143085
PBfusion.410.2	transcript/139378
PBfusion.410.1	transcript/139378,transcript/136717
PBfusion.411.2	transcript/48929
PBfusion.411.1	transcript/48929
PBfusion.412.2	transcript/102777
PBfusion.412.1	transcript/102777
PBfusion.413.2	transcript/102634
PBfusion.413.1	transcript/102634
PBfusion.414.2	transcript/111369,transcript/141721,transcript/64164,transcript/77504
PBfusion.414.1	transcript/111369
PBfusion.415.2	transcript/111369,transcript/141721,transcript/64164,transcript/77504
PBfusion.415.1	transcript/141721
PBfusion.416.2	transcript/111369,transcript/141721,transcript/64164,transcript/77504
PBfusion.416.1	transcript/64164,transcript/77504
PBfusion.417.2	transcript/26732
PBfusion.417.1	transcript/26732
PBfusion.418.1	transcript/117426
PBfusion.418.2	transcript/117426
PBfusion.419.2	transcript/176530
PBfusion.419.1	transcript/176530
PBfusion.420.1	transcript/162796
PBfusion.420.2	transcript/45285,transcript/125307,transcript/162796,transcript/48524
PBfusion.421.1	transcript/86077
PBfusion.421.2	transcript/86077
PBfusion.422.2	transcript/106270
PBfusion.422.1	transcript/106270
PBfusion.423.1	transcript/111184
PBfusion.423.2	transcript/111184
PBfusion.424.2	transcript/155833
PBfusion.424.1	transcript/155833
PBfusion.425.1	transcript/94103
PBfusion.425.2	transcript/94103
PBfusion.426.2	transcript/110641
PBfusion.426.1	transcript/110641
PBfusion.427.2	transcript/83807
PBfusion.427.1	transcript/83807
PBfusion.428.1	transcript/328
PBfusion.428.2	transcript/328
PBfusion.429.2	transcript/155672
PBfusion.429.1	transcript/155672
PBfusion.430.2	transcript/150034
PBfusion.430.3	transcript/162627,transcript/34723,transcript/150034
PBfusion.430.1	transcript/150034
PBfusion.431.2	transcript/67434
PBfusion.431.1	transcript/67434
PBfusion.432.2	transcript/133513,transcript/86531,transcript/113754,transcript/155930
PBfusion.432.1	transcript/133513
PBfusion.433.2	transcript/133513,transcript/86531,transcript/113754,transcript/155930
PBfusion.433.1	transcript/86531
PBfusion.434.2	transcript/133513,transcript/86531,transcript/113754,transcript/155930
PBfusion.434.1	transcript/113754
PBfusion.435.2	transcript/133513,transcript/86531,transcript/113754,transcript/155930
PBfusion.435.1	transcript/151973,transcript/155930
PBfusion.436.1	transcript/58257
PBfusion.436.2	transcript/58257
PBfusion.437.1	transcript/96135
PBfusion.437.2	transcript/129745,transcript/190393,transcript/96135
PBfusion.438.2	transcript/81814
PBfusion.438.1	transcript/81814
PBfusion.439.1	transcript/85855
PBfusion.439.2	transcript/85855
PBfusion.440.1	transcript/20967
PBfusion.440.2	transcript/20967
PBfusion.441.1	transcript/111148
PBfusion.441.2	transcript/111148
PBfusion.442.1	transcript/76489
PBfusion.442.2	transcript/76489
PBfusion.443.1	transcript/112239,transcript/105386
PBfusion.443.2	transcript/112239,transcript/118835,transcript/119604
PBfusion.444.1	transcript/112239,transcript/105386
PBfusion.444.2	transcript/105386
PBfusion.445.1	transcript/146387,transcript/51752
PBfusion.445.2	transcript/146387
PBfusion.446.1	transcript/146387,transcript/51752
PBfusion.446.2	transcript/51752
PBfusion.447.1	transcript/119604,transcript/145043
PBfusion.447.2	transcript/112239,transcript/118835,transcript/119604
PBfusion.448.1	transcript/119604,transcript/145043
PBfusion.448.2	transcript/145043
PBfusion.449.1	transcript/46299,transcript/57306
PBfusion.449.2	transcript/46299
PBfusion.450.1	transcript/46299,transcript/57306
PBfusion.450.2	transcript/57306
PBfusion.451.1	transcript/118835
PBfusion.451.2	transcript/112239,transcript/118835,transcript/119604
PBfusion.452.1	transcript/178523
PBfusion.452.2	transcript/178523
PBfusion.453.2	transcript/117227,transcript/176671,transcript/38282
PBfusion.453.1	transcript/117227
PBfusion.454.2	transcript/117227,transcript/176671,transcript/38282
PBfusion.454.1	transcript/38282
PBfusion.455.2	transcript/50538
PBfusion.455.1	transcript/50538
PBfusion.456.2	transcript/125897
PBfusion.456.1	transcript/125897
PBfusion.457.1	transcript/136485
PBfusion.457.2	transcript/136485
PBfusion.458.2	transcript/159224,transcript/45981
PBfusion.458.1	transcript/159224
PBfusion.459.2	transcript/159224,transcript/45981
PBfusion.459.1	transcript/45981
PBfusion.460.2	transcript/20885
PBfusion.460.1	transcript/20885
PBfusion.461.2	transcript/62334
PBfusion.461.1	transcript/62334
PBfusion.462.1	transcript/172224
PBfusion.462.2	transcript/172224
PBfusion.463.1	transcript/30248
PBfusion.463.2	transcript/30248
PBfusion.464.2	transcript/18711
PBfusion.464.1	transcript/18711,transcript/94502,transcript/115614,transcript/24596,transcript/83709
PBfusion.465.1	transcript/34924
PBfusion.465.2	transcript/156609,transcript/34924,transcript/178192
PBfusion.466.1	transcript/186339
PBfusion.466.2	transcript/186339
PBfusion.467.1	transcript/30523
PBfusion.467.2	transcript/30523
PBfusion.468.2	transcript/126613
PBfusion.468.1	transcript/126613
PBfusion.469.1	transcript/158610
PBfusion.469.2	transcript/158610
PBfusion.470.1	transcript/88435
PBfusion.470.2	transcript/88435
PBfusion.471.2	transcript/141605
PBfusion.471.1	transcript/141605,transcript/167794
PBfusion.472.2	transcript/68840
PBfusion.472.1	transcript/68840
PBfusion.473.1	transcript/35002
PBfusion.473.2	transcript/35002
PBfusion.474.2	transcript/137102
PBfusion.474.1	transcript/137102
PBfusion.475.2	transcript/126651
PBfusion.475.1	transcript/70388,transcript/159804,transcript/44433,transcript/95651,transcript/72632,transcript/126651
PBfusion.476.2	transcript/168509
PBfusion.476.1	transcript/168509
PBfusion.477.1	transcript/86941
PBfusion.477.2	transcript/86941
PBfusion.478.3	transcript/152750
PBfusion.478.2	transcript/152750
PBfusion.478.1	transcript/152750
PBfusion.479.1	transcript/44081
PBfusion.479.2	transcript/44081
PBfusion.480.2	transcript/35897
PBfusion.480.1	transcript/35897
PBfusion.481.1	transcript/121580
PBfusion.481.2	transcript/121580
PBfusion.482.2	transcript/105263
PBfusion.482.1	transcript/105263
PBfusion.483.2	transcript/119887
PBfusion.483.1	transcript/119887
PBfusion.484.1	transcript/37906
PBfusion.484.2	transcript/37906
PBfusion.485.1	transcript/60798
PBfusion.485.2	transcript/60798
PBfusion.486.2	transcript/104901,transcript/20468,transcript/50416,transcript/42427
PBfusion.486.1	transcript/104901
PBfusion.487.2	transcript/104901,transcript/20468,transcript/50416,transcript/42427
PBfusion.487.1	transcript/20468
PBfusion.488.2	transcript/104901,transcript/20468,transcript/50416,transcript/42427
PBfusion.488.1	transcript/50416
PBfusion.489.2	transcript/104901,transcript/20468,transcript/50416,transcript/42427
PBfusion.489.1	transcript/42427
PBfusion.490.1	transcript/109097
PBfusion.490.2	transcript/109097
PBfusion.491.2	transcript/79760
PBfusion.491.1	transcript/79760
PBfusion.492.1	transcript/53385
PBfusion.492.2	transcript/53385
PBfusion.493.1	transcript/100354
PBfusion.493.2	transcript/100354
PBfusion.494.1	transcript/125307,transcript/171825,transcript/21349
PBfusion.494.2	transcript/45285,transcript/125307,transcript/162796,transcript/48524
PBfusion.495.1	transcript/125307,transcript/171825,transcript/21349
PBfusion.495.2	transcript/171825,transcript/142382
PBfusion.496.1	transcript/125307,transcript/171825,transcript/21349
PBfusion.496.2	transcript/21349
PBfusion.497.1	transcript/97895
PBfusion.497.2	transcript/97895
PBfusion.498.1	transcript/108218
PBfusion.498.2	transcript/108218
PBfusion.499.1	transcript/107678
PBfusion.499.2	transcript/107678
PBfusion.500.1	transcript/146115
PBfusion.500.2	transcript/146115
PBfusion.501.2	transcript/170750
PBfusion.501.1	transcript/170750
PBfusion.502.2	transcript/161795
PBfusion.502.1	transcript/161795
PBfusion.503.1	transcript/100201
PBfusion.503.2	transcript/100201
PBfusion.504.2	transcript/107072
PBfusion.504.1	transcript/56310,transcript/107072,transcript/82503,transcript/12501
PBfusion.505.1	transcript/121172
PBfusion.505.2	transcript/121172
PBfusion.506.1	transcript/176677
PBfusion.506.2	transcript/176677
PBfusion.507.1	transcript/107028
PBfusion.507.2	transcript/107028
PBfusion.508.2	transcript/86208
PBfusion.508.1	transcript/86208
PBfusion.509.2	transcript/175327,transcript/13580
PBfusion.509.1	transcript/175327
PBfusion.510.2	transcript/175327,transcript/13580
PBfusion.510.1	transcript/13580
PBfusion.511.2	transcript/141689,transcript/90667
PBfusion.511.1	transcript/141689
PBfusion.512.2	transcript/141689,transcript/90667
PBfusion.512.1	transcript/90667
PBfusion.513.1	transcript/165922
PBfusion.513.2	transcript/165922
PBfusion.514.2	transcript/3447,transcript/9971
PBfusion.514.1	transcript/3447
PBfusion.515.2	transcript/3447,transcript/9971
PBfusion.515.1	transcript/9971
PBfusion.516.1	transcript/158949
PBfusion.516.2	transcript/158949
PBfusion.517.2	transcript/90681
PBfusion.517.1	transcript/90681
PBfusion.518.1	transcript/151973,transcript/155930
PBfusion.518.2	transcript/151973,transcript/104008,transcript/138159,transcript/73996
PBfusion.519.1	transcript/88321
PBfusion.519.2	transcript/88321
PBfusion.520.1	transcript/175277
PBfusion.520.2	transcript/175277
PBfusion.521.1	transcript/73880
PBfusion.521.2	transcript/73880
PBfusion.522.1	transcript/190393
PBfusion.522.2	transcript/129745,transcript/190393,transcript/96135
PBfusion.523.1	transcript/93537
PBfusion.523.2	transcript/93537
PBfusion.524.2	transcript/152407
PBfusion.524.1	transcript/152407
PBfusion.525.2	transcript/96975
PBfusion.525.1	transcript/96975
PBfusion.526.2	transcript/28062
PBfusion.526.1	transcript/28062
PBfusion.527.1	transcript/79369,transcript/110265
PBfusion.527.2	transcript/145061,transcript/79369
PBfusion.528.1	transcript/79369,transcript/110265
PBfusion.528.2	transcript/110265
PBfusion.529.1	transcript/84759
PBfusion.529.2	transcript/84759
PBfusion.530.1	transcript/10101
PBfusion.530.2	transcript/88159,transcript/10101,transcript/111643
PBfusion.531.1	transcript/89086
PBfusion.531.2	transcript/89086
PBfusion.532.1	transcript/1593
PBfusion.532.2	transcript/1593
PBfusion.533.1	transcript/118034
PBfusion.533.2	transcript/118034
PBfusion.534.2	transcript/95121,transcript/109700
PBfusion.534.1	transcript/177523,transcript/95121
PBfusion.535.2	transcript/95121,transcript/109700
PBfusion.535.1	transcript/109700
PBfusion.536.2	transcript/79804
PBfusion.536.1	transcript/79804
PBfusion.537.1	transcript/91688
PBfusion.537.2	transcript/91688
PBfusion.538.2	transcript/171460
PBfusion.538.1	transcript/169183,transcript/170444,transcript/3303,transcript/171460,transcript/131307,transcript/128703
PBfusion.539.1	transcript/45492
PBfusion.539.2	transcript/31960,transcript/152031,transcript/76056,transcript/94502,transcript/45492,transcript/57919
PBfusion.540.2	transcript/138391
PBfusion.540.1	transcript/138391
PBfusion.541.2	transcript/38352
PBfusion.541.1	transcript/102107,transcript/38352,transcript/149648,transcript/73996
PBfusion.542.2	transcript/148369
PBfusion.542.1	transcript/148369
PBfusion.543.2	transcript/52717
PBfusion.543.1	transcript/52717
PBfusion.544.1	transcript/99337
PBfusion.544.2	transcript/99337
PBfusion.545.2	transcript/117437
PBfusion.545.1	transcript/117437
PBfusion.546.2	transcript/188877,transcript/179061
PBfusion.546.1	transcript/188877
PBfusion.547.2	transcript/188877,transcript/179061
PBfusion.547.1	transcript/179061
PBfusion.548.2	transcript/48049
PBfusion.548.1	transcript/48049
PBfusion.549.1	transcript/65127
PBfusion.549.2	transcript/65127
PBfusion.550.1	transcript/185009
PBfusion.550.2	transcript/185009
PBfusion.551.2	transcript/151056
PBfusion.551.1	transcript/151056
PBfusion.552.2	transcript/159804
PBfusion.552.1	transcript/70388,transcript/159804,transcript/44433,transcript/95651,transcript/72632,transcript/126651
PBfusion.553.2	transcript/115614
PBfusion.553.1	transcript/18711,transcript/94502,transcript/115614,transcript/24596,transcript/83709
PBfusion.554.2	transcript/55295
PBfusion.554.1	transcript/55295,transcript/75566
PBfusion.555.2	transcript/55491
PBfusion.555.1	transcript/55491
PBfusion.556.1	transcript/168693
PBfusion.556.2	transcript/168693
PBfusion.557.2	transcript/16266
PBfusion.557.1	transcript/16266
PBfusion.558.2	transcript/149310
PBfusion.558.1	transcript/149310
PBfusion.559.2	transcript/162627,transcript/34723,transcript/150034
PBfusion.559.1	transcript/162627
PBfusion.560.2	transcript/162627,transcript/34723,transcript/150034
PBfusion.560.1	transcript/1093,transcript/34723
PBfusion.561.2	transcript/167838
PBfusion.561.1	transcript/167838
PBfusion.562.2	transcript/118893
PBfusion.562.1	transcript/118893
PBfusion.563.2	transcript/42949
PBfusion.563.1	transcript/42949
PBfusion.564.1	transcript/38734
PBfusion.564.2	transcript/38734
PBfusion.565.2	transcript/89300
PBfusion.565.1	transcript/89300
PBfusion.566.2	transcript/183813,transcript/137400
PBfusion.566.1	transcript/183813
PBfusion.567.2	transcript/183813,transcript/137400
PBfusion.567.1	transcript/137400
PBfusion.568.2	transcript/42782
PBfusion.568.1	transcript/42782
PBfusion.569.2	transcript/123416
PBfusion.569.1	transcript/123416
PBfusion.570.2	transcript/164072
PBfusion.570.1	transcript/164072
PBfusion.571.2	transcript/187074
PBfusion.571.1	transcript/187074
PBfusion.572.2	transcript/56594
PBfusion.572.1	transcript/56594
PBfusion.573.1	transcript/164879,transcript/21554,transcript/33513
PBfusion.573.2	transcript/164879,transcript/112631
PBfusion.574.1	transcript/164879,transcript/21554,transcript/33513
PBfusion.574.2	transcript/21554
PBfusion.575.1	transcript/164879,transcript/21554,transcript/33513
PBfusion.575.2	transcript/176385,transcript/33513
PBfusion.576.1	transcript/6610
PBfusion.576.2	transcript/6610
PBfusion.577.1	transcript/1093,transcript/34723
PBfusion.577.2	transcript/1093
PBfusion.578.1	transcript/63297
PBfusion.578.2	transcript/63297
PBfusion.579.1	transcript/44905
PBfusion.579.2	transcript/44905
PBfusion.580.1	transcript/1880
PBfusion.580.2	transcript/1880
PBfusion.581.2	transcript/56310,transcript/95567
PBfusion.581.1	transcript/56310,transcript/107072,transcript/82503,transcript/12501
PBfusion.582.2	transcript/56310,transcript/95567
PBfusion.582.1	transcript/95567
PBfusion.583.1	transcript/150678
PBfusion.583.2	transcript/150678
PBfusion.584.1	transcript/34700
PBfusion.584.2	transcript/34700
PBfusion.585.1	transcript/160514
PBfusion.585.2	transcript/160514
PBfusion.586.2	transcript/118059
PBfusion.586.1	transcript/118059
PBfusion.587.1	transcript/123670
PBfusion.587.2	transcript/123670
PBfusion.588.2	transcript/119290
PBfusion.588.1	transcript/119290
PBfusion.589.2	transcript/163071
PBfusion.589.1	transcript/163071
PBfusion.590.1	transcript/86177
PBfusion.590.2	transcript/86177
PBfusion.591.1	transcript/131295
PBfusion.591.2	transcript/131295
PBfusion.592.1	transcript/64541
PBfusion.592.2	transcript/64541
PBfusion.593.1	transcript/85868
PBfusion.593.2	transcript/111774,transcript/32014,transcript/85868,transcript/66286,transcript/132094
PBfusion.594.1	transcript/145619
PBfusion.594.2	transcript/145619
PBfusion.595.2	transcript/64761
PBfusion.595.1	transcript/64761
PBfusion.596.2	transcript/161921
PBfusion.596.1	transcript/161921
PBfusion.597.1	transcript/77506
PBfusion.597.2	transcript/77506
PBfusion.598.1	transcript/24247
PBfusion.598.2	transcript/24247
PBfusion.599.1	transcript/60156
PBfusion.599.2	transcript/60156
PBfusion.600.1	transcript/58372
PBfusion.600.2	transcript/58372
PBfusion.601.2	transcript/64935
PBfusion.601.1	transcript/64935
PBfusion.602.1	transcript/190958
PBfusion.602.2	transcript/190958
PBfusion.603.1	transcript/152830
PBfusion.603.2	transcript/152830
PBfusion.604.1	transcript/145754
PBfusion.604.2	transcript/145754,transcript/140446
PBfusion.605.1	transcript/160419
PBfusion.605.2	transcript/160419
PBfusion.606.2	transcript/187299
PBfusion.606.1	transcript/187299
PBfusion.607.2	transcript/106303
PBfusion.607.1	transcript/106303
PBfusion.608.2	transcript/156295
PBfusion.608.1	transcript/156295
PBfusion.609.2	transcript/110025,transcript/90316
PBfusion.609.1	transcript/90316
PBfusion.610.1	transcript/26274
PBfusion.610.2	transcript/26274,transcript/94353
PBfusion.611.1	transcript/173270
PBfusion.611.2	transcript/173270,transcript/170638
PBfusion.612.1	transcript/165829
PBfusion.612.2	transcript/165829
PBfusion.613.1	transcript/92619
PBfusion.613.2	transcript/92619
PBfusion.614.1	transcript/100898
PBfusion.614.2	transcript/100898
PBfusion.615.2	transcript/2077
PBfusion.615.1	transcript/2077
PBfusion.616.2	transcript/76712
PBfusion.616.1	transcript/76712
PBfusion.617.1	transcript/125659
PBfusion.617.2	transcript/125659
PBfusion.618.1	transcript/174547
PBfusion.618.2	transcript/174547,transcript/125848
PBfusion.619.2	transcript/173811
PBfusion.619.1	transcript/173811
PBfusion.620.2	transcript/8719
PBfusion.620.1	transcript/8719
PBfusion.621.2	transcript/29574
PBfusion.621.1	transcript/29574
PBfusion.622.1	transcript/25977
PBfusion.622.2	transcript/25977
PBfusion.623.2	transcript/108918
PBfusion.623.1	transcript/108918
PBfusion.624.1	transcript/83238
PBfusion.624.2	transcript/83238,transcript/61928,transcript/165097
PBfusion.625.1	transcript/121620,transcript/129399
PBfusion.625.2	transcript/160524,transcript/129399,transcript/135932,transcript/121620,transcript/136014,transcript/94810,transcript/154075
PBfusion.626.1	transcript/135932
PBfusion.626.2	transcript/160524,transcript/129399,transcript/135932,transcript/121620,transcript/136014,transcript/94810,transcript/154075
PBfusion.627.1	transcript/94810
PBfusion.627.2	transcript/160524,transcript/129399,transcript/135932,transcript/121620,transcript/136014,transcript/94810,transcript/154075
PBfusion.628.1	transcript/136014
PBfusion.628.2	transcript/160524,transcript/129399,transcript/135932,transcript/121620,transcript/136014,transcript/94810,transcript/154075
PBfusion.629.1	transcript/154075
PBfusion.629.2	transcript/160524,transcript/129399,transcript/135932,transcript/121620,transcript/136014,transcript/94810,transcript/154075
PBfusion.630.1	transcript/160524
PBfusion.630.2	transcript/160524,transcript/129399,transcript/135932,transcript/121620,transcript/136014,transcript/94810,transcript/154075
PBfusion.631.1	transcript/47878
PBfusion.631.2	transcript/47878
PBfusion.632.1	transcript/136159
PBfusion.632.2	transcript/136159
PBfusion.633.1	transcript/88750
PBfusion.633.2	transcript/88750
PBfusion.634.2	transcript/89133
PBfusion.634.1	transcript/89133
PBfusion.635.2	transcript/32350
PBfusion.635.1	transcript/32350
PBfusion.636.2	transcript/47281
PBfusion.636.1	transcript/47281
PBfusion.637.1	transcript/164842
PBfusion.637.2	transcript/164842
PBfusion.638.1	transcript/87505
PBfusion.638.2	transcript/87505
PBfusion.639.1	transcript/156570
PBfusion.639.2	transcript/156570
PBfusion.640.2	transcript/26461
PBfusion.640.1	transcript/26461
PBfusion.641.1	transcript/76533
PBfusion.641.2	transcript/76533
PBfusion.642.1	transcript/1494
PBfusion.642.2	transcript/1494
PBfusion.643.2	transcript/92882,transcript/103261
PBfusion.643.1	transcript/92882
PBfusion.644.2	transcript/92882,transcript/103261
PBfusion.644.1	transcript/103261
PBfusion.645.1	transcript/38278
PBfusion.645.2	transcript/38278
PBfusion.646.2	transcript/49779,transcript/9931
PBfusion.646.1	transcript/49779
PBfusion.647.2	transcript/49779,transcript/9931
PBfusion.647.1	transcript/9931
PBfusion.648.1	transcript/102680
PBfusion.648.2	transcript/102680
PBfusion.649.1	transcript/186765
PBfusion.649.2	transcript/186765
PBfusion.650.1	transcript/97969
PBfusion.650.2	transcript/97969
PBfusion.651.2	transcript/109042
PBfusion.651.1	transcript/109042
PBfusion.652.1	transcript/56436
PBfusion.652.2	transcript/56436
PBfusion.653.2	transcript/106192
PBfusion.653.1	transcript/106192
PBfusion.654.1	transcript/139453
PBfusion.654.2	transcript/139453
PBfusion.655.2	transcript/155088
PBfusion.655.1	transcript/155088
PBfusion.656.1	transcript/29514
PBfusion.656.2	transcript/29514
PBfusion.657.2	transcript/110136
PBfusion.657.1	transcript/110136
PBfusion.658.2	transcript/165301
PBfusion.658.1	transcript/165301
PBfusion.659.2	transcript/149426
PBfusion.659.1	transcript/89788,transcript/149426,transcript/78921
PBfusion.660.2	transcript/102092
PBfusion.660.1	transcript/102092
PBfusion.661.1	transcript/104008
PBfusion.661.2	transcript/151973,transcript/104008,transcript/138159,transcript/73996
PBfusion.662.2	transcript/13843
PBfusion.662.1	transcript/13843
PBfusion.663.2	transcript/96041
PBfusion.663.1	transcript/96041
PBfusion.664.1	transcript/112631
PBfusion.664.2	transcript/164879,transcript/112631
PBfusion.665.1	transcript/10948
PBfusion.665.2	transcript/10948
PBfusion.666.2	transcript/112697
PBfusion.666.1	transcript/112697
PBfusion.667.2	transcript/90661
PBfusion.667.1	transcript/90661
PBfusion.668.1	transcript/138829
PBfusion.668.2	transcript/138829
PBfusion.669.2	transcript/32103
PBfusion.669.1	transcript/32103
PBfusion.670.1	transcript/792
PBfusion.670.2	transcript/792
PBfusion.671.2	transcript/134095
PBfusion.671.1	transcript/134095
PBfusion.672.1	transcript/45016
PBfusion.672.2	transcript/45016,transcript/98956
PBfusion.673.2	transcript/28398
PBfusion.673.1	transcript/28398
PBfusion.674.1	transcript/123009
PBfusion.674.2	transcript/125282,transcript/98704,transcript/123009,transcript/162995
PBfusion.675.1	transcript/26286
PBfusion.675.2	transcript/116067,transcript/26286
PBfusion.676.2	transcript/26373
PBfusion.676.1	transcript/26373
PBfusion.677.2	transcript/35313
PBfusion.677.1	transcript/35313
PBfusion.678.2	transcript/95045
PBfusion.678.1	transcript/95045
PBfusion.679.1	transcript/33026
PBfusion.679.2	transcript/33026,transcript/62340
PBfusion.680.1	transcript/91462
PBfusion.680.2	transcript/91462
PBfusion.681.2	transcript/128373
PBfusion.681.1	transcript/128373
PBfusion.682.1	transcript/44983
PBfusion.682.2	transcript/44983
PBfusion.683.1	transcript/39008
PBfusion.683.2	transcript/39008
PBfusion.684.1	transcript/136544
PBfusion.684.2	transcript/136544
PBfusion.685.2	transcript/175151
PBfusion.685.1	transcript/175151
PBfusion.686.1	transcript/56554
PBfusion.686.2	transcript/56554
PBfusion.687.2	transcript/85782
PBfusion.687.1	transcript/85782
PBfusion.688.2	transcript/146954
PBfusion.688.1	transcript/146954
PBfusion.689.2	transcript/167218
PBfusion.689.1	transcript/167218
PBfusion.690.2	transcript/178104
PBfusion.690.1	transcript/178104
PBfusion.691.2	transcript/142959
PBfusion.691.1	transcript/50897,transcript/142959
PBfusion.692.2	transcript/89788
PBfusion.692.1	transcript/89788,transcript/149426,transcript/78921
PBfusion.693.1	transcript/129961
PBfusion.693.2	transcript/87518,transcript/171171,transcript/129961
PBfusion.694.2	transcript/139430
PBfusion.694.1	transcript/139430
PBfusion.695.2	transcript/36703
PBfusion.695.1	transcript/36703
PBfusion.696.1	transcript/122728
PBfusion.696.2	transcript/122728
PBfusion.697.1	transcript/185948
PBfusion.697.2	transcript/185948
PBfusion.698.1	transcript/99049
PBfusion.698.2	transcript/99049
PBfusion.699.1	transcript/139378,transcript/136717
PBfusion.699.2	transcript/136717
PBfusion.700.1	transcript/146286
PBfusion.700.2	transcript/146286,transcript/166569
PBfusion.701.1	transcript/139602
PBfusion.701.2	transcript/139602
PBfusion.702.1	transcript/139479
PBfusion.702.2	transcript/139479
PBfusion.703.2	transcript/49063
PBfusion.703.1	transcript/49063
PBfusion.704.1	transcript/201941
PBfusion.704.2	transcript/201941
PBfusion.705.2	transcript/141726
PBfusion.705.1	transcript/141726
PBfusion.706.1	transcript/53045
PBfusion.706.2	transcript/53045
PBfusion.707.2	transcript/93000
PBfusion.707.1	transcript/93000
PBfusion.708.1	transcript/112847
PBfusion.708.2	transcript/86568,transcript/112847
PBfusion.709.2	transcript/82735
PBfusion.709.1	transcript/82735
PBfusion.710.2	transcript/15169
PBfusion.710.1	transcript/15169
PBfusion.711.1	transcript/159767
PBfusion.711.2	transcript/159767
PBfusion.712.1	transcript/153582
PBfusion.712.2	transcript/153582
PBfusion.713.1	transcript/102653
PBfusion.713.2	transcript/102653
PBfusion.714.1	transcript/156675
PBfusion.714.2	transcript/122750,transcript/156675
PBfusion.715.2	transcript/38762
PBfusion.715.1	transcript/38762
PBfusion.716.2	transcript/10942
PBfusion.716.1	transcript/10942
PBfusion.717.1	transcript/182695
PBfusion.717.2	transcript/182695
PBfusion.718.2	transcript/154876
PBfusion.718.1	transcript/154876
PBfusion.719.1	transcript/133307
PBfusion.719.2	transcript/133307
PBfusion.720.2	transcript/164359
PBfusion.720.1	transcript/164359
PBfusion.721.2	transcript/162830
PBfusion.721.1	transcript/162830
PBfusion.722.2	transcript/147888
PBfusion.722.1	transcript/147888
PBfusion.723.2	transcript/2273
PBfusion.723.1	transcript/2273
PBfusion.724.1	transcript/110174
PBfusion.724.2	transcript/110174
PBfusion.725.2	transcript/198753,transcript/20268,transcript/195839,transcript/24387,transcript/197420,transcript/42317
PBfusion.725.1	transcript/198753
PBfusion.726.2	transcript/198753,transcript/20268,transcript/195839,transcript/24387,transcript/197420,transcript/42317
PBfusion.726.1	transcript/20268
PBfusion.727.2	transcript/198753,transcript/20268,transcript/195839,transcript/24387,transcript/197420,transcript/42317
PBfusion.727.1	transcript/195540,transcript/195839
PBfusion.728.2	transcript/198753,transcript/20268,transcript/195839,transcript/24387,transcript/197420,transcript/42317
PBfusion.728.1	transcript/24387,transcript/42317
PBfusion.729.2	transcript/198753,transcript/20268,transcript/195839,transcript/24387,transcript/197420,transcript/42317
